Text;Size;Color;Angle;Font;Repeat;URL
conoscenza;48;Random;Random;Random;Yes;
sistema;31;Random;Random;Random;Yes;
livello;30;Random;Random;Random;Yes;
rappresentazione;28;Random;Random;Random;Yes;
stato;28;Random;Random;Random;Yes;
ragionamento;27;Random;Random;Random;Yes;
soluzione;27;Random;Random;Random;Yes;
stati;24;Random;Random;Random;Yes;
mondo;22;Random;Random;Random;Yes;
problema;21;Random;Random;Random;Yes;
agenti;21;Random;Random;Random;Yes;
sistemi;20;Random;Random;Random;Yes;
termini;17;Random;Random;Random;Yes;
individui;17;Random;Random;Random;Yes;
relazioni;17;Random;Random;Random;Yes;
info;17;Random;Random;Random;Yes;
dati;16;Random;Random;Random;Yes;
dominio;16;Random;Random;Random;Yes;
miglior;16;Random;Random;Random;Yes;
informazione;15;Random;Random;Random;Yes;
azioni;15;Random;Random;Random;Yes;
simboli;14;Random;Random;Random;Yes;
problemi;14;Random;Random;Random;Yes;
ragionare;14;Random;Random;Random;Yes;
caratteristiche;13;Random;Random;Random;Yes;
dato;12;Random;Random;Random;Yes;
linguaggio;12;Random;Random;Random;Yes;
tempo;12;Random;Random;Random;Yes;
modello;11;Random;Random;Random;Yes;
compiti;11;Random;Random;Random;Yes;
potrebbe;11;Random;Random;Random;Yes;
modularità;10;Random;Random;Random;Yes;
ai;10;Random;Random;Random;Yes;
attraverso;10;Random;Random;Random;Yes;
significato;10;Random;Random;Random;Yes;
ambiente;10;Random;Random;Random;Yes;
modo;10;Random;Random;Random;Yes;
determinare;10;Random;Random;Random;Yes;
serve;10;Random;Random;Random;Yes;
agente;10;Random;Random;Random;Yes;
feature;10;Random;Random;Random;Yes;
esempio;9;Random;Random;Random;Yes;
dimensioni;9;Random;Random;Random;Yes;
apprendimento;9;Random;Random;Random;Yes;
risorse;9;Random;Random;Random;Yes;
base;9;Random;Random;Random;Yes;
qualità;9;Random;Random;Random;Yes;
informazioni;9;Random;Random;Random;Yes;
prendere;9;Random;Random;Random;Yes;
azione;9;Random;Random;Random;Yes;
cosa;9;Random;Random;Random;Yes;
caso;9;Random;Random;Random;Yes;
volte;9;Random;Random;Random;Yes;
dimensione;9;Random;Random;Random;Yes;
complessità;8;Random;Random;Random;Yes;
osservazioni;8;Random;Random;Random;Yes;
decisioni;8;Random;Random;Random;Yes;
valori;8;Random;Random;Random;Yes;
sorgenti;8;Random;Random;Random;Yes;
specifica;8;Random;Random;Random;Yes;
risposta;8;Random;Random;Random;Yes;
relazione;8;Random;Random;Random;Yes;
diversi;8;Random;Random;Random;Yes;
quello;8;Random;Random;Random;Yes;
robot;8;Random;Random;Random;Yes;
difficile;8;Random;Random;Random;Yes;
possibile;7;Random;Random;Random;Yes;
intelligente;7;Random;Random;Random;Yes;
computazione;7;Random;Random;Random;Yes;
astrazione;7;Random;Random;Random;Yes;
intelligenti;7;Random;Random;Random;Yes;
molto;7;Random;Random;Random;Yes;
singolo;7;Random;Random;Random;Yes;
knowledge;7;Random;Random;Random;Yes;
descrizione;7;Random;Random;Random;Yes;
esperienza;7;Random;Random;Random;Yes;
risolvere;7;Random;Random;Random;Yes;
risposte;7;Random;Random;Random;Yes;
basso;7;Random;Random;Random;Yes;
livelli;7;Random;Random;Random;Yes;
ambienti;7;Random;Random;Random;Yes;
proposizioni;7;Random;Random;Random;Yes;
moduli;7;Random;Random;Random;Yes;
decisione;7;Random;Random;Random;Yes;
preferenze;7;Random;Random;Random;Yes;
sapere;6;Random;Random;Random;Yes;
